MOIS,CLIENT_ID,taux,GDP
30Nov2017 0:00:00,00000000504242,2.75,0.71
31Aug2018 0:00:00,00000000504320,2.81,2.15
31Mar2018 0:00:00,00000000504520,2.4,-2.14
28Feb2018 0:00:00,00000000504672,2.7,2.18
31Oct2018 0:00:00,00000000504761,2.43,0.6
31Jul2018 0:00:00,00000000504817,2.52,1.03
28Feb2018 0:00:00,00000000504883,3.22,-1.39
28Feb2018 0:00:00,00000000504886,2.71,1.32
30Jun2018 0:00:00,00000000504932,2.5,1.01
31Aug2018 0:00:00,00000000505077,2.28,0.79
30Apr2018 0:00:00,00000000505236,2.72,-0.07
30Nov2017 0:00:00,00000000505680,2.76,-0.18
31Oct2018 0:00:00,00000000505988,2.89,0.08
31Jul2018 0:00:00,00000000506150,2.78,-1.15
31Mar2018 0:00:00,00000000506337,2.44,-1.16
31Oct2018 0:00:00,00000000506490,2.36,1.18
30Jun2018 0:00:00,00000000506529,2.75,-0.37
30Nov2017 0:00:00,00000000506535,2.73,-2.05
31May2018 0:00:00,00000000506760,2.33,-0.33
31Dec2017 0:00:00,00000000506774,3.18,0.55
31Dec2017 0:00:00,00000000506830,2.85,-0.11
31May2018 0:00:00,00000000506836,2.6,1.29
31Oct2017 0:00:00,00000000506938,2.64,0.29
31Oct2018 0:00:00,00000000506971,2.49,0.75
31Jul2018 0:00:00,00000000506975,2.45,0.03
31Oct2017 0:00:00,00000000507040,3.37,0.8
30Sep2018 0:00:00,00000000507113,2.5,0.74
31Mar2018 0:00:00,00000000507132,2.33,0.67
30Apr2018 0:00:00,00000000507199,2.56,-0.62
31Aug2018 0:00:00,00000000507267,2.25,0.38
30Sep2018 0:00:00,00000000507370,2.3,-1.11
30Sep2018 0:00:00,00000000507527,2.42,0.41
31Mar2018 0:00:00,00000000507540,3.75,-0.45
31Mar2018 0:00:00,00000000507701,2.57,-0.52
30Jun2018 0:00:00,00000000507731,2.83,-2.2
31Dec2017 0:00:00,00000000507841,2.36,-1.72
31Jan2018 0:00:00,00000000507857,2.57,0.61
31Aug2018 0:00:00,00000000507984,2.88,1.71
31Oct2018 0:00:00,00000000508096,3.37,0.83
30Nov2017 0:00:00,00000000508162,3.19,0.29
31Jul2018 0:00:00,00000000508305,2.28,-0.38
31Mar2018 0:00:00,00000000508525,2.68,-0.5
30Sep2018 0:00:00,00000000508617,4.15,1.13
30Apr2018 0:00:00,00000000508717,2.61,-1.32
31Aug2018 0:00:00,00000000509068,2.56,1.13
31May2018 0:00:00,00000000509112,2.32,-0.12
30Sep2018 0:00:00,00000000509274,2.42,-0.74
30Apr2018 0:00:00,00000000509344,2.25,-0.63
31Oct2017 0:00:00,00000000509438,2.29,-0.55
31May2018 0:00:00,00000000509581,2.9,0.18
31Oct2018 0:00:00,00000000509611,2.97,1.55
31Dec2017 0:00:00,00000000509652,2.42,1.91
31Oct2018 0:00:00,00000000509759,2.31,-1.07
30Jun2018 0:00:00,00000000509995,2.57,0.88
30Apr2018 0:00:00,00000000510012,2.25,-1.05
28Feb2018 0:00:00,00000000510141,3.14,0.39
30Nov2017 0:00:00,00000000510188,2.33,0.06
30Sep2018 0:00:00,00000000510300,2.29,0.44
31Mar2018 0:00:00,00000000510361,2.36,0.96
31Jul2018 0:00:00,00000000510378,2.73,0.72
31Oct2017 0:00:00,00000000510382,2.8,-0.34
31Oct2017 0:00:00,00000000510565,2.61,1.62
30Jun2018 0:00:00,00000000510604,2.32,0.72
31Dec2017 0:00:00,00000000510728,2.89,-1.02
31May2018 0:00:00,00000000510763,2.36,0.53
31May2018 0:00:00,00000000510901,3.09,-0.76
31Aug2018 0:00:00,00000000510908,3.11,0.45
30Sep2018 0:00:00,00000000511079,2.45,0.71
30Sep2018 0:00:00,00000000511105,3.06,1.42
31Dec2017 0:00:00,00000000511131,2.92,0.91
30Apr2018 0:00:00,00000000511155,3.47,0.99
30Apr2018 0:00:00,00000000511272,2.38,1.57
31Aug2018 0:00:00,00000000511683,2.45,0.12
31Oct2017 0:00:00,00000000511820,2.35,-0.33
31Jan2018 0:00:00,00000000511836,2.41,0.89
31Oct2018 0:00:00,00000000511871,2.6,-1.06
31Mar2018 0:00:00,00000000511895,2.95,-0.52
31Oct2017 0:00:00,00000000511897,2.79,-0.46
28Feb2018 0:00:00,00000000511978,2.41,-0.18
30Jun2018 0:00:00,00000000511993,3.28,0.79
31May2018 0:00:00,00000000512019,2.35,0.72
30Jun2018 0:00:00,00000000512148,2.24,-2.1
30Jun2018 0:00:00,00000000512165,3.56,2.23
31Aug2018 0:00:00,00000000512216,2.88,-1.66
31Oct2018 0:00:00,00000000512649,2.57,0.71
31Mar2018 0:00:00,00000000512676,2.51,0.66
31Oct2017 0:00:00,00000000512838,2.87,-2.3
28Feb2018 0:00:00,00000000512877,2.46,1.59
31Oct2017 0:00:00,00000000512976,2.93,0.2
31May2018 0:00:00,00000000512990,2.66,0.33
31Aug2018 0:00:00,00000000513100,2.28,-0.3
31Jul2018 0:00:00,00000000513230,2.33,0.64
31Jan2018 0:00:00,00000000513338,2.66,-0.35
31Jan2018 0:00:00,00000000513408,2.3,-0.84
31Oct2017 0:00:00,00000000513476,2.58,0.41
31Jul2018 0:00:00,00000000513628,2.37,0.45
30Sep2018 0:00:00,00000000513640,2.59,-2.74
30Jun2018 0:00:00,00000000513861,2.33,-0.09
28Feb2018 0:00:00,00000000513880,2.43,0.42
30Apr2018 0:00:00,00000000514061,2.28,-1.51
31Jan2018 0:00:00,00000000514148,2.27,1.3
30Jun2018 0:00:00,00000000514160,2.38,0.36
31May2018 0:00:00,00000000514264,2.6,0.85
30Nov2017 0:00:00,00000000514407,2.37,-1.05
30Apr2018 0:00:00,00000000514459,3.06,0.97
31Oct2017 0:00:00,00000000514465,2.43,-0.42
31Oct2018 0:00:00,00000000514576,2.25,0.68
31Jan2018 0:00:00,00000000514638,2.56,0.75
31Dec2017 0:00:00,00000000514856,2.74,0.8
30Nov2017 0:00:00,00000000514911,2.4,0.85
31Oct2017 0:00:00,00000000515001,2.44,1.88
31Aug2018 0:00:00,00000000515015,2.49,-0.01
30Apr2018 0:00:00,00000000515094,3.29,-0.15
30Apr2018 0:00:00,00000000515121,2.26,-1.11
30Apr2018 0:00:00,00000000515248,3.35,1.31
31Oct2018 0:00:00,00000000515275,2.68,0.21
31May2018 0:00:00,00000000515322,2.32,-0.63
30Nov2017 0:00:00,00000000515407,2.53,0.27
30Apr2018 0:00:00,00000000515775,2.26,-0.97
31Aug2018 0:00:00,00000000515842,2.27,-0.23
30Sep2018 0:00:00,00000000515883,2.75,-0.35
31Oct2018 0:00:00,00000000515884,2.55,1.62
31Oct2018 0:00:00,00000000515927,2.35,-1.25
31Mar2018 0:00:00,00000000515976,2.67,1.11
28Feb2018 0:00:00,00000000516005,2.55,-0.83
31Jan2018 0:00:00,00000000516087,3.83,-1.62
31Jan2018 0:00:00,00000000516103,3.13,-1.2
30Nov2017 0:00:00,00000000516383,2.58,-2.98
30Jun2018 0:00:00,00000000516463,2.64,-1.16
30Sep2018 0:00:00,00000000516488,2.36,2.08
31Oct2017 0:00:00,00000000516554,2.46,-0.45
30Nov2017 0:00:00,00000000516697,2.59,0.36
31Jan2018 0:00:00,00000000516814,2.57,-0.75
31May2018 0:00:00,00000000516853,2.28,-0.05
30Apr2018 0:00:00,00000000516943,3.29,1.42
31Oct2017 0:00:00,00000000516953,2.54,-0.87
31Mar2018 0:00:00,00000000516991,2.69,-0.74
31Oct2017 0:00:00,00000000517097,2.39,1.52
31Jul2018 0:00:00,00000000517131,3.16,0.17
31Jan2018 0:00:00,00000000517163,2.5,-1.33
31Mar2018 0:00:00,00000000517384,2.51,0.52
30Apr2018 0:00:00,00000000517404,2.71,-0.35
28Feb2018 0:00:00,00000000517458,2.25,0.23
31May2018 0:00:00,00000000517516,2.47,-0.32
31Jul2018 0:00:00,00000000517621,2.33,-1.31
30Nov2017 0:00:00,00000000517854,2.55,-1.11
31Dec2017 0:00:00,00000000517877,2.33,1.58
30Nov2017 0:00:00,00000000518073,2.48,-1.8
30Jun2018 0:00:00,00000000518180,2.61,0.23
31Mar2018 0:00:00,00000000518277,2.3,-0.09
31Dec2017 0:00:00,00000000518325,2.5,1.77
31Jan2018 0:00:00,00000000518405,2.35,-0.12
31Aug2018 0:00:00,00000000518584,2.28,0.52
31Jan2018 0:00:00,00000000518724,2.26,0.62
31Jul2018 0:00:00,00000000518732,2.53,-0.11
31Jan2018 0:00:00,00000000518740,3.05,-1.07
31Oct2018 0:00:00,00000000518927,2.51,-0.51
31Mar2018 0:00:00,00000000518939,3.23,-0.02
30Jun2018 0:00:00,00000000518978,2.39,0.83
31Jan2018 0:00:00,00000000519272,2.77,-1.46
31Aug2018 0:00:00,00000000519540,2.53,0.41
30Apr2018 0:00:00,00000000519541,2.34,0.58
31Aug2018 0:00:00,00000000519635,2.33,1.13
31Oct2017 0:00:00,00000000519669,2.68,0.26
31Oct2018 0:00:00,00000000519843,3.11,1.22
30Sep2018 0:00:00,00000000519891,2.6,0.97
30Nov2017 0:00:00,00000000519900,2.92,-0.04
30Apr2018 0:00:00,00000000520001,2.25,0.84
30Jun2018 0:00:00,00000000520024,2.57,-1.79
31Jan2018 0:00:00,00000000520250,2.36,-1.95
31Oct2017 0:00:00,00000000520264,2.4,1.71
31May2018 0:00:00,00000000520361,2.38,0.23
31Oct2018 0:00:00,00000000520452,2.39,0.6
31Jan2018 0:00:00,00000000520475,2.31,-0.47
31Mar2018 0:00:00,00000000520818,2.36,-1.53
28Feb2018 0:00:00,00000000521187,2.33,-2.35
31Dec2017 0:00:00,00000000521191,2.63,-0.28
28Feb2018 0:00:00,00000000521224,4.08,0.61
28Feb2018 0:00:00,00000000521230,2.49,-2.6
30Sep2018 0:00:00,00000000521476,3.14,-0.48
30Nov2017 0:00:00,00000000521506,2.28,-0.9
31May2018 0:00:00,00000000521509,2.53,-0.58
31Aug2018 0:00:00,00000000521615,4.1,1.13
31Aug2018 0:00:00,00000000521716,2.47,0.9
31May2018 0:00:00,00000000521765,2.38,0.11
30Apr2018 0:00:00,00000000521909,3.2,-0.31
30Jun2018 0:00:00,00000000521991,2.45,0.34
30Sep2018 0:00:00,00000000522251,2.93,0.94
28Feb2018 0:00:00,00000000522359,2.59,-0.85
31Dec2017 0:00:00,00000000522427,2.61,0
31May2018 0:00:00,00000000522468,2.36,0.44
31Oct2017 0:00:00,00000000522496,2.57,1.2
31May2018 0:00:00,00000000522669,2.5,-2.48
30Apr2018 0:00:00,00000000522770,2.28,0.8
31Aug2018 0:00:00,00000000522894,2.57,0.63
30Jun2018 0:00:00,00000000523193,2.68,-0.53
31Mar2018 0:00:00,00000000523219,2.9,-0.22
31Oct2017 0:00:00,00000000523364,2.28,-0.47
30Sep2018 0:00:00,00000000523476,2.5,-1.15
31Jan2018 0:00:00,00000000523610,3.93,1.14
31Jan2018 0:00:00,00000000523712,2.54,0.45
31Oct2018 0:00:00,00000000523796,2.24,1.19
30Apr2018 0:00:00,00000000523851,2.61,1.21
30Sep2018 0:00:00,00000000523930,2.41,0.71
31May2018 0:00:00,00000000524095,2.36,1.17
31Dec2017 0:00:00,00000000524109,2.67,1.42
31Dec2017 0:00:00,00000000524305,2.37,0.01
30Apr2018 0:00:00,00000000524312,3.01,0.66
31Aug2018 0:00:00,00000000524331,2.25,-2.18
31Mar2018 0:00:00,00000000524355,2.88,0.2
31Mar2018 0:00:00,00000000524401,2.46,0.41
31Oct2017 0:00:00,00000000524482,2.42,-0.34
31Oct2017 0:00:00,00000000524888,2.27,-0.23
31Oct2017 0:00:00,00000000524970,2.32,-1.53
30Sep2018 0:00:00,00000000525319,2.4,-0.14
30Jun2018 0:00:00,00000000525464,2.62,-0.08
31Aug2018 0:00:00,00000000525488,2.64,0.4
28Feb2018 0:00:00,00000000525546,3.02,0.62
31Mar2018 0:00:00,00000000525588,2.33,0.07
31Dec2017 0:00:00,00000000525598,2.49,-0.85
30Nov2017 0:00:00,00000000525751,2.92,-1.59
31Aug2018 0:00:00,00000000525811,2.32,1.25
30Apr2018 0:00:00,00000000525825,2.53,-1.58
31Jan2018 0:00:00,00000000525868,2.49,0.94
28Feb2018 0:00:00,00000000525966,2.97,1.17
31Mar2018 0:00:00,00000000526081,3.09,-0.41
31Mar2018 0:00:00,00000000526169,2.37,-0.37
30Apr2018 0:00:00,00000000526213,2.68,-0.79
31Aug2018 0:00:00,00000000526253,2.42,-1.43
31Jan2018 0:00:00,00000000526336,3.31,0.87
31Dec2017 0:00:00,00000000526343,2.26,-0.53
31Oct2017 0:00:00,00000000526386,2.58,-0.12
31Oct2018 0:00:00,00000000526407,2.46,-0.99
31Aug2018 0:00:00,00000000526433,2.32,-0.62
28Feb2018 0:00:00,00000000526638,2.77,2.05
30Sep2018 0:00:00,00000000526654,2.92,1.52
31Dec2017 0:00:00,00000000526690,2.46,0.62
31May2018 0:00:00,00000000526741,2.29,-0.38
30Jun2018 0:00:00,00000000526766,2.85,-0.41
31Oct2018 0:00:00,00000000526809,2.61,-0.56
31Dec2017 0:00:00,00000000527040,2.72,-1.35
31Jan2018 0:00:00,00000000527189,2.83,-0.47
31May2018 0:00:00,00000000527234,2.3,-0.58
31Dec2017 0:00:00,00000000527448,2.25,1.01
30Nov2017 0:00:00,00000000527516,2.64,0.59
30Sep2018 0:00:00,00000000527580,2.35,0.94
31Oct2017 0:00:00,00000000527803,3.12,1.06
30Jun2018 0:00:00,00000000527816,2.56,1.53
31Dec2017 0:00:00,00000000527831,2.67,0.45
31May2018 0:00:00,00000000527849,2.47,0.88
30Jun2018 0:00:00,00000000527912,2.76,0.56
30Jun2018 0:00:00,00000000527995,2.48,-1.29
31Dec2017 0:00:00,00000000528007,3.08,0
30Jun2018 0:00:00,00000000528045,2.29,1.03
31Dec2017 0:00:00,00000000528162,2.55,0.18
31Mar2018 0:00:00,00000000528166,3.08,-0.01
30Nov2017 0:00:00,00000000528248,3.04,-1.16
31Oct2017 0:00:00,00000000528277,2.34,-0.62
31Jan2018 0:00:00,00000000528298,2.58,-0.17
30Jun2018 0:00:00,00000000528299,2.46,0.06
31Mar2018 0:00:00,00000000528362,2.89,1.41
30Sep2018 0:00:00,00000000528467,2.45,-1.46
31Jan2018 0:00:00,00000000528502,2.45,-0.39
31Oct2017 0:00:00,00000000528526,3.07,0.54
31Jan2018 0:00:00,00000000528560,2.37,0.63
31Mar2018 0:00:00,00000000528968,2.34,-2.32
31Mar2018 0:00:00,00000000529034,2.47,1.49
31Aug2018 0:00:00,00000000529132,2.76,-1.49
31May2018 0:00:00,00000000529190,2.46,0.86
31Jul2018 0:00:00,00000000529262,2.25,0.84
31Jul2018 0:00:00,00000000529528,2.33,0.98
31Aug2018 0:00:00,00000000529805,2.26,0.55
31Oct2017 0:00:00,00000000529837,2.47,-1.28
30Jun2018 0:00:00,00000000529900,2.45,0.81
30Jun2018 0:00:00,00000000530061,2.84,2.09
31Aug2018 0:00:00,00000000530162,2.39,-0.61
31Jul2018 0:00:00,00000000530238,2.47,0.13
31Jan2018 0:00:00,00000000530302,2.37,0.17
31Oct2017 0:00:00,00000000530390,2.7,0.75
30Nov2017 0:00:00,00000000530487,2.53,0.07
31Jul2018 0:00:00,00000000530999,2.44,1.94
31Oct2017 0:00:00,00000000531143,2.26,-1.33
31Oct2017 0:00:00,00000000531175,2.32,-0.87
28Feb2018 0:00:00,00000000531246,2.55,0.41
31Jul2018 0:00:00,00000000531291,2.24,-0.58
31Mar2018 0:00:00,00000000531293,2.4,0.9
31Mar2018 0:00:00,00000000531561,2.4,-0.88
31Oct2018 0:00:00,00000000531681,2.92,-0.35
31Jul2018 0:00:00,00000000531693,2.75,-1.8
28Feb2018 0:00:00,00000000531722,2.31,-0.41
31May2018 0:00:00,00000000531973,2.95,1.31
30Sep2018 0:00:00,00000000531992,2.88,0.24
31Jan2018 0:00:00,00000000532028,2.41,-0.5
31Jan2018 0:00:00,00000000532055,3.02,-0.97
31Dec2017 0:00:00,00000000532056,2.47,-1.03
30Nov2017 0:00:00,00000000532064,2.41,-0.08
31Mar2018 0:00:00,00000000532175,2.37,0.91
31Jan2018 0:00:00,00000000532223,3.2,0.18
31May2018 0:00:00,00000000532292,2.46,-0.75
30Apr2018 0:00:00,00000000532501,2.44,-0.85
28Feb2018 0:00:00,00000000532651,2.89,-1.41
31Jul2018 0:00:00,00000000532673,2.36,-0.63
28Feb2018 0:00:00,00000000532691,2.66,0.98
31Oct2017 0:00:00,00000000532737,2.33,0.59
31Jul2018 0:00:00,00000000532861,2.66,0.12
31Dec2017 0:00:00,00000000533067,2.47,-0.75
31Mar2018 0:00:00,00000000533069,2.94,0.15
31Oct2018 0:00:00,00000000533184,2.35,0.42
28Feb2018 0:00:00,00000000533243,2.37,0.36
30Apr2018 0:00:00,00000000533270,2.42,-0.47
28Feb2018 0:00:00,00000000533310,2.82,1.43
30Jun2018 0:00:00,00000000533631,2.42,1.27
31Aug2018 0:00:00,00000000533660,2.26,-2.06
31Mar2018 0:00:00,00000000533669,2.31,0.85
31Jul2018 0:00:00,00000000533719,2.52,-1.51
31Jan2018 0:00:00,00000000533720,2.26,-0.02
31May2018 0:00:00,00000000533798,2.36,1.59
31Aug2018 0:00:00,00000000533805,2.44,-0.63
30Nov2017 0:00:00,00000000533836,2.37,0.69
31May2018 0:00:00,00000000533857,2.31,-0.21
30Jun2018 0:00:00,00000000534018,3.24,-0.13
31Oct2017 0:00:00,00000000534372,2.47,-1.36
31May2018 0:00:00,00000000534434,2.64,-0.28
31Mar2018 0:00:00,00000000534727,2.5,0.37
30Apr2018 0:00:00,00000000534844,2.3,-0.33
31Jan2018 0:00:00,00000000534966,2.26,-0.9
31May2018 0:00:00,00000000534980,2.5,-0.81
31Aug2018 0:00:00,00000000534995,2.44,0.51
30Jun2018 0:00:00,00000000535061,2.33,-0.22
28Feb2018 0:00:00,00000000535089,2.86,1.37
31Aug2018 0:00:00,00000000535744,2.47,-0.38
31Dec2017 0:00:00,00000000535766,2.26,-0.01
30Sep2018 0:00:00,00000000535767,2.45,-1.6
30Apr2018 0:00:00,00000000535787,2.41,0.41
30Nov2017 0:00:00,00000000536251,2.29,0.65
30Apr2018 0:00:00,00000000536285,2.77,-0.85
31Oct2018 0:00:00,00000000536298,2.37,-2.26
31Jan2018 0:00:00,00000000536302,2.39,-0.29
31Jul2018 0:00:00,00000000536364,2.37,-1.23
30Nov2017 0:00:00,00000000536415,2.35,-0.01
31Mar2018 0:00:00,00000000536638,2.83,-0.07
30Nov2017 0:00:00,00000000536722,2.54,0.37
31Oct2017 0:00:00,00000000536894,2.69,-0.5
30Jun2018 0:00:00,00000000536917,3.19,-0.75
31Aug2018 0:00:00,00000000536933,2.38,0.98
31Oct2018 0:00:00,00000000537048,3.46,-0.37
31May2018 0:00:00,00000000537055,2.4,-0.47
30Apr2018 0:00:00,00000000537146,2.26,2.34
30Apr2018 0:00:00,00000000537374,2.44,-0.2
31Oct2018 0:00:00,00000000537403,2.51,-0.36
30Jun2018 0:00:00,00000000537525,3.03,-0.19
30Jun2018 0:00:00,00000000537645,2.76,0.5
31Oct2017 0:00:00,00000000537824,2.24,-0.53
30Apr2018 0:00:00,00000000537862,2.6,-0.22
30Sep2018 0:00:00,00000000538146,2.43,1.09
28Feb2018 0:00:00,00000000538199,2.62,0.69
30Jun2018 0:00:00,00000000538256,2.69,-0.69
28Feb2018 0:00:00,00000000538332,2.3,-0.05
30Jun2018 0:00:00,00000000538337,2.5,0.45
30Jun2018 0:00:00,00000000538485,3.31,-0.21
30Apr2018 0:00:00,00000000538679,2.3,-0.17
31Oct2017 0:00:00,00000000538771,2.63,-0.25
30Jun2018 0:00:00,00000000538808,2.49,-1.25
30Nov2017 0:00:00,00000000538870,2.38,1.54
31Jul2018 0:00:00,00000000538900,2.61,-0.07
31Jul2018 0:00:00,00000000539068,3.15,1.92
30Sep2018 0:00:00,00000000539176,2.77,0.84
30Jun2018 0:00:00,00000000539450,2.42,-0.1
30Jun2018 0:00:00,00000000539539,2.67,0.67
30Nov2017 0:00:00,00000000539864,3.34,0.76
31Jan2018 0:00:00,00000000539924,2.86,-0.62
31Jan2018 0:00:00,00000000539954,2.29,2.76
31Oct2017 0:00:00,00000000539966,2.39,-0.93
31Dec2017 0:00:00,00000000540054,2.84,0.52
30Apr2018 0:00:00,00000000540063,2.74,-0.32
31May2018 0:00:00,00000000540181,2.32,-0.27
31Jan2018 0:00:00,00000000540354,2.34,-0.6
31Jan2018 0:00:00,00000000540361,2.25,-0.77
31May2018 0:00:00,00000000540390,2.45,0.62
31Oct2017 0:00:00,00000000540792,2.71,-0.72
31Jan2018 0:00:00,00000000540867,2.7,-0.26
31Oct2017 0:00:00,00000000540870,2.67,0.81
31Aug2018 0:00:00,00000000540927,3.36,-0.26
30Sep2018 0:00:00,00000000541070,2.48,0.85
30Apr2018 0:00:00,00000000541181,2.45,-0.73
31Jan2018 0:00:00,00000000541190,2.65,0.33
30Sep2018 0:00:00,00000000541453,2.44,-0.79
30Nov2017 0:00:00,00000000541493,2.53,2.7
31May2018 0:00:00,00000000541685,2.51,0.95
30Apr2018 0:00:00,00000000541689,2.34,1.66
31Dec2017 0:00:00,00000000541690,2.34,-1.28
31Oct2018 0:00:00,00000000541763,2.28,-0.66
30Nov2017 0:00:00,00000000541850,2.69,-1.7
31Jul2018 0:00:00,00000000542186,2.61,0.56
31May2018 0:00:00,00000000542200,2.64,-0.79
30Sep2018 0:00:00,00000000542319,2.78,-2.41
30Jun2018 0:00:00,00000000542369,2.52,2.06
30Sep2018 0:00:00,00000000542443,3.19,-0.58
31Oct2018 0:00:00,00000000542561,2.69,0.73
31Aug2018 0:00:00,00000000542650,2.49,0.82
28Feb2018 0:00:00,00000000542685,3.04,-1.62
31Dec2017 0:00:00,00000000542690,2.27,0.75
31Oct2018 0:00:00,00000000542769,2.36,0.04
31Oct2018 0:00:00,00000000542809,2.48,0.02
30Apr2018 0:00:00,00000000542992,2.55,1.24
31Jan2018 0:00:00,00000000543267,2.5,0.59
31Aug2018 0:00:00,00000000543314,2.43,-0.15
31May2018 0:00:00,00000000543575,2.37,0.26
28Feb2018 0:00:00,00000000543588,2.59,0.46
30Jun2018 0:00:00,00000000543646,2.25,0.28
31Aug2018 0:00:00,00000000543701,2.43,0.97
31Oct2018 0:00:00,00000000543942,2.49,-0.54
31Jul2018 0:00:00,00000000543957,2.37,2.2
31Aug2018 0:00:00,00000000544088,2.64,-0.14
31Jan2018 0:00:00,00000000544094,2.31,-0.24
31Oct2017 0:00:00,00000000544098,3.28,-0.78
31Oct2017 0:00:00,00000000544181,2.38,-2.08
31May2018 0:00:00,00000000544189,2.24,-1.54
31Jan2018 0:00:00,00000000544225,2.29,0.75
31Jan2018 0:00:00,00000000544229,2.27,-0.01
31Jul2018 0:00:00,00000000544258,2.73,-1.12
31Jan2018 0:00:00,00000000544379,2.35,1.52
30Nov2017 0:00:00,00000000544826,2.64,-0.39
31Aug2018 0:00:00,00000000544882,2.72,0.48
31May2018 0:00:00,00000000544952,2.31,-0.72
30Nov2017 0:00:00,00000000544974,2.81,0.67
31Mar2018 0:00:00,00000000545097,3.15,1.01
31Jul2018 0:00:00,00000000545105,2.38,-0.82
30Nov2017 0:00:00,00000000545115,2.41,-0.26
30Sep2018 0:00:00,00000000545124,2.27,-0.73
31Jan2018 0:00:00,00000000545238,2.49,-0.45
31May2018 0:00:00,00000000545565,2.36,1.87
28Feb2018 0:00:00,00000000545663,2.37,-1.17
30Apr2018 0:00:00,00000000545672,2.41,-0.88
30Jun2018 0:00:00,00000000545682,2.39,1.27
31Jan2018 0:00:00,00000000545710,2.36,1.94
31Dec2017 0:00:00,00000000545739,2.55,-0.64
31Mar2018 0:00:00,00000000546213,2.94,1.84
31Jan2018 0:00:00,00000000546476,2.89,-0.57
31Jul2018 0:00:00,00000000546556,2.5,0.46
31Mar2018 0:00:00,00000000546638,2.25,0.76
30Sep2018 0:00:00,00000000546684,3.05,1.22
31May2018 0:00:00,00000000546893,2.68,-1.3
31Jan2018 0:00:00,00000000546954,2.26,0.97
31Mar2018 0:00:00,00000000546955,3.05,0.36
31Jan2018 0:00:00,00000000546980,2.3,-1.95
31Oct2018 0:00:00,00000000547034,2.63,0.9
31Oct2017 0:00:00,00000000547135,2.66,1.68
31Jan2018 0:00:00,00000000547251,3.23,-0.72
31Dec2017 0:00:00,00000000547252,2.4,-0.97
30Apr2018 0:00:00,00000000547561,2.75,-0.39
31Jul2018 0:00:00,00000000547638,2.71,-0.71
30Jun2018 0:00:00,00000000547780,2.35,0.5
31Jan2018 0:00:00,00000000547927,2.26,0.05
31Oct2017 0:00:00,00000000547947,3.24,0.33
30Jun2018 0:00:00,00000000547995,2.55,-1.34
30Apr2018 0:00:00,00000000548163,3.12,0.2
30Sep2018 0:00:00,00000000548270,2.34,0.87
31Aug2018 0:00:00,00000000548479,2.78,-0.35
31Aug2018 0:00:00,00000000548560,2.32,0.61
30Nov2017 0:00:00,00000000548649,3.21,-2.2
31Oct2018 0:00:00,00000000548709,2.67,-1.08
28Feb2018 0:00:00,00000000548743,2.29,0.25
31Mar2018 0:00:00,00000000548852,2.31,0.95
31Mar2018 0:00:00,00000000549195,2.3,1.01
31Oct2018 0:00:00,00000000549384,2.83,0.91
31Mar2018 0:00:00,00000000549527,2.68,0.5
31May2018 0:00:00,00000000549601,2.43,0.06
31May2018 0:00:00,00000000549608,2.77,-1.43
30Apr2018 0:00:00,00000000549632,2.41,-1.29
31Mar2018 0:00:00,00000000549694,2.74,-0.66
28Feb2018 0:00:00,00000000549735,3.1,0.2
31May2018 0:00:00,00000000549776,3.1,-1.34
31Dec2017 0:00:00,00000000550288,2.42,-1.3
31Jul2018 0:00:00,00000000550387,2.53,-0.41
31Oct2017 0:00:00,00000000550423,2.54,-1.25
30Jun2018 0:00:00,00000000550503,2.33,1.31
30Nov2017 0:00:00,00000000550514,2.47,1.11
30Sep2018 0:00:00,00000000550610,2.75,-1.5
31Oct2017 0:00:00,00000000550657,2.82,0.5
31Aug2018 0:00:00,00000000550828,3.03,-2.15
28Feb2018 0:00:00,00000000551134,2.47,-0.64
31May2018 0:00:00,00000000551174,2.39,-1.08
31May2018 0:00:00,00000000551245,2.36,0.23
30Sep2018 0:00:00,00000000551248,2.29,-1.6
30Nov2017 0:00:00,00000000551249,2.3,0.23
28Feb2018 0:00:00,00000000551432,2.56,0.37
31Oct2017 0:00:00,00000000551655,2.3,1.87
30Nov2017 0:00:00,00000000551701,2.71,2.18
31Oct2018 0:00:00,00000000551713,2.49,0.82
30Nov2017 0:00:00,00000000551733,2.85,0.52
31Oct2017 0:00:00,00000000551864,2.85,0.5
31Aug2018 0:00:00,00000000552003,3.21,-0.41
30Nov2017 0:00:00,00000000552132,2.39,-0.46
31Jan2018 0:00:00,00000000552135,2.3,0.97
31May2018 0:00:00,00000000552358,2.63,-0.04
31Aug2018 0:00:00,00000000552515,3.27,0.12
31Dec2017 0:00:00,00000000552672,3.42,-1.3
30Apr2018 0:00:00,00000000552788,2.27,0.42
31Mar2018 0:00:00,00000000553347,2.72,0.08
31Oct2017 0:00:00,00000000553359,2.61,1.21
31May2018 0:00:00,00000000553458,2.26,-0.47
31Dec2017 0:00:00,00000000553670,2.67,-0.23
31Mar2018 0:00:00,00000000553709,2.4,-1.63
31Jan2018 0:00:00,00000000553778,2.85,0.86
31Oct2017 0:00:00,00000000553821,2.55,0.32
31Mar2018 0:00:00,00000000554212,2.62,0.24
31Jan2018 0:00:00,00000000554221,2.82,1.28
31May2018 0:00:00,00000000554299,2.43,1.87
31Mar2018 0:00:00,00000000554347,2.56,-0.52
31Jan2018 0:00:00,00000000554957,2.86,-0.16
30Jun2018 0:00:00,00000000555009,2.83,1.51
